icon_name,service_name,service_name_en,service_number,category,asset_path,usage,short_description,full_description,features,technologies
cctv_security,أنظمة الأمان والمراقبة,Security & Surveillance Systems,01,الأمن والحماية,img/JUST.jpg,حماية وإدارة أمن المنشآت ومراقبتها بالذكاء الاصطناعي,أنظمة متقدمة لحماية المنشآت ومراقبتها ورفع مستوى الأمن والسلامة,"نقدم منظومات مراقبة أمنية متكاملة تعتمد على كاميرات الذكاء الاصطناعي فائقة الدقة (AI CCTV) مع خوادم التسجيل وإدارة الفيديو VMS، والتعرف التلقائي على الوجوه والمركبات، والإنذار المبكر للأحداث في الوقت الفعلي.","كاميرات فائقة الدقة 4K و PTZ;تحليلات الفيديو بالذكاء الاصطناعي (AI Analytics);خوادم إدارة وتسجيل الفيديو VMS / NVR;الرؤية الليلية المتقدمة والتصوير الحراري;غرف عمليات ومراقبة مركزية 24/7","AI CCTV;VMS;NVR;Thermal Imaging;ANPR"
access_control,أنظمة التحكم بالدخول والخروج,Access Control & Biometrics,02,الأمن وإدارة الوصول,img/JUST.jpg,إدارة صلاحيات دخول وخروج الأفراد والمركبات بدقة,حلول متكاملة لإدارة الدخول والخروج والتحكم في صلاحيات الوصول,"منظومة متطورة لإدارة وتدقيق الوصول للمنشآت الحيوية والمكاتب عبر بوابات إلكترونية ذكية، وقارئات البصمة الحيوية وبصمة الوجه، والبطاقات المشفرة RFID، مع ربط مباشر بقواعد البيانات وسجلات الحضور المركزية.","بوابات أمنية دوارة وبوابات ذراعية ذكية;قارئات البصمة ثلاثية الأبعاد والتعرف على الوجه;بطاقات ذكية مشفرة وتصاريح دخول رقمية;أقفال كهرومغناطيسية وأنظمة إقفال آمنة;تقارير فورية وتتبع صلاحيات الأفراد","Biometrics;Facial Recognition;RFID;Speed Gates;Magnetic Locks"
intrusion_alarm,أنظمة الإنذار والاتصالات,Intrusion Alarm & Public Comms,03,الإنذار والاتصالات,img/TECHNOLGY.jpg,كشف التسلل والنداء العام والتواصل في الطوارئ,حلول إنذار واتصالات متقدمة للمنشآت والمرافق,"أنظمة إنذار مبكر لرصد التسلل وكشف الحركة والكسر للمحيط الأمني، مدمجة مع شبكات النداء العام (PA System) واتصالات الطوارئ الصوتية لتأمين المنشآت وحماية الأصول على مدار الساعة.","حساسات حركة محيطية وليزرية متقدمة;لوحات إنذار مركزية مع إشعارات فورية;أنظمة النداء العام والتوجيه الصوتي PA;أجهزة انتركم طوارئ مرئية ومقاومة للتخريب;تكامل فوري مع غرف العمليات والمراقبة","PIR Sensors;Laser Perimeter;Public Address;Emergency Intercom;Alarm Panels"
fire_alarm,إنذار الحريق,Fire Alarm & Detection Systems,04,السلامة وحماية الأرواح,img/TECHNOLGY.jpg,كشف الدخان والحرارة والإنذار المبكر للإخلاء الآمن,أنظمة كشف وإنذار الحريق لحماية الأشخاص والممتلكات,"نصمم وننفذ أحدث أنظمة كشف وإنذار الحريق المعنونة (Addressable Fire Alarm Systems) المعتمدة دولياً، والتي تضمن الكشف السريع عن الدخان والحرارة وتفعيل خطط الإخلاء التلقائي والربط مع أنظمة الإطفاء والتهوية.","لوحات تحكم معنونة فائقة الدقة والاعتمادية;كواشف دخان وحرارة وكواشف بصرية متطورة;أجراس وسرينات إنذار صوتية ومرئية قوية;ربط آلي مع أنظمة التكييف والمصاعد والإطفاء;لوحات تكرار ومراقبة مركزية","Addressable Panels;Smoke/Heat Detectors;Audio-Visual Strobes;HVAC Shutdown;UL/FM Listed"
networks_telecom,الشبكات والاتصالات,Networking & Telecom Infrastructure,05,البنية التحتية الرقمية,img/TECHNOLGY.jpg,تصميم وتنفيذ شبكات البيانات والاتصالات السلكية واللاسلكية,تصميم وتنفيذ البنية التحتية للشبكات وأنظمة الاتصالات,"تأسيس بنية تحتية رقمية متكاملة تشمل تمديد كابلات الألياف الضوئية (Fiber Optics) وشبكات Cat6/Cat6A المعتمدة، وتجهيز غرف الخوادم (Data Centers & Racks)، وتوزيع شبكات الواي فاي المؤسسية فائقة السرعة.","شبكات الألياف الضوئية والكابلات الهيكلية المنظمة;سيرفرات وكبائن راك مع أنظمة إدارة الكابلات;شبكات Wi-Fi 6 و Wi-Fi 7 للمؤسسات الكبرى;سويتشات وروترات صناعية وإدارية متقدمة;حلول جدران الحماية والأمان السيبراني للشبكات","Fiber Optics;Structured Cabling;Enterprise Wi-Fi 6/7;Cisco/Aruba Switches;Server Racks"
smart_audio,الأنظمة الذكية والصوتيات,Smart Acoustics & Sound Systems,06,الصوتيات الذكية,img/JUST.jpg,هندسة الصوت وتوزيع الصوتيات الذكية للمرافق والقاعات,حلول الأنظمة الذكية والصوتية للمباني والمنشآت,"حلول هندسية صوتية شاملة لتوزيع الصوت الاحترافي متعدد المناطق (Multi-Zone Audio) للمباني، المساجد، القاعات، والمجمعات التجارية، مع معالجات رقمية DSP وأجهزة ميكروفونات ومكبرات عالية النقاوة.","توزيع صوتي متعدد القنوات والمناطق;معالجات صوتية رقمية متطورة DSP;سماعات سقفية وجدارية احترافية عالية الدقة;مصفوفات ميكروفونات لاسلكية وأنظمة مؤتمرات;تحكم رقمي بالصوت عبر شاشات لمس وتطبيقات","DSP Processors;Multi-Zone Matrix;Commercial Speakers;Wireless Microphones;Acoustic Tuning"
ip_pbx,السنترال,IP-PBX & Telephony Systems,07,الاتصالات المؤسسية,img/TECHNOLGY.jpg,إدارة المكالات والاتصالات الهاتفية الداخلية والسحابية,أنظمة الاتصالات الهاتفية وإدارة الاتصالات الداخلية,"حلول سنترالات IP-PBX الحديثة للشركات والمؤسسات، توفر اتصالات موحدة عبر بروتوكول الإنترنت VoIP، وإدارة ذكية للمكالمات، وربط الفروع، والرد الآلي IVR، والتكامل مع أنظمة خدمة العملاء.","سنترالات IP-PBX محلية وسحابية عالية الاعتمادية;هواتف مكتبية IP وهواتف تنفيذية بشاشات لمس;نظام الرد الآلي التفاعلي IVR وتوزيع المكالمات;ربط الفروع والمكاتب المتعددة بشبكة موحدة;تسجيل المكالمات وتقارير أداء الاتصالات","VoIP;IP-PBX;SIP Trunk;IVR System;Unified Communications"
bms_systems,إدارة المباني BMS,Building Management Systems (BMS),08,الأنظمة الذكية والأتمتة,img/TECHNOLGY.jpg,التحكم المركزي في التكييف والإضاءة واستهلاك الطاقة بالمبنى,أنظمة إدارة ومراقبة المباني والتحكم في الأنظمة المختلفة مركزيًا,"منظومات BMS مركزية لأتمتة ومراقبة كافة مرافق المبنى تشمل التحكم في وحدات التكييف والتهوية HVAC، ومراقبة استهلاك الطاقة والمياه، والتحكم بالإضاءة الذكية، وجدولة التشغيل لتقليل التكاليف التشغيلية.","لوحة تحكم وتحكم مركزي موحد للمبنى;أتمتة وحدات التكييف والتهوية الميكانيكية HVAC;مراقبة استهلاك الطاقة وتوليد تقارير الكفاءة;جدولة تلقائية للإضاءة والأجهزة لتقليل الهدر;استشعار الأعطال والصيانة التنبؤية الفورية","BMS Controllers;HVAC Integration;BACnet/Modbus;Energy Metering;SCADA"
smart_home,المنازل الذكية,Smart Home Automation,09,الأتمتة السكنية,img/JUST.jpg,تحكم ذكي شامل في الإضاءة والستائر والمناخ والأمان السكني,حلول متقدمة للتحكم والإدارة الذكية داخل المنازل,"تحويل المنازل والفلل إلى بيئات ذكية بالكامل تتيح التحكم المركزي في الإضاءة، الستائر الكهربائية، التكييف، الترفيه الصوتي، وكاميرات الأمان من خلال شاشات لمس حائطية وتطبيقات الهواتف والأوامر الصوتية.","سيناريوهات ذكية مخصصة (الوصول، المغادرة، النوم);تحكم كامل بالإضاءة والستائر والمناخ;تكامل مع الأوامر الصوتية وشاشات الحائط الذكية;حساسات ذكية للحركة والحرارة وترشيد الطاقة;تأمين المداخل والأبواب بأقفال ذكية متصلة","KNX;Zigbee;Smart Relays;Touch Panels;Voice Control"
audiovisual,الأنظمة المرئية والصوتية,Audiovisual & Meeting Solutions,10,العرض والاجتماعات الذكية,img/IT TEAM.jpg,تجهيز غرف الاجتماعات الذكية وشاشات العرض التفاعلية,حلول متكاملة للأنظمة المرئية والصوتية للمشاريع والمنشآت,"تجهيز قاعات المؤتمرات وغرف الاجتماعات الذكية بأحدث شاشات العرض التفاعلية وجدران الفيديو (Video Walls)، وأنظمة المؤتمرات المرئية عن بُعد (Video Conferencing)، وحلول العرض اللاسلكي المتقدمة.","شاشات عرض تفاعلية 4K وجدران فيديو LED;أنظمة المؤتمرات المرئية الذكية مع تتبع المتحدث;أنظمة مشاركة الشاشة والعرض اللاسلكي الفوري;أنظمة تحكم مركزي بالقاعة عبر شاشات لمس مخصصة;عزل صوتي وتجهيز هندسي متكامل للقاعات","Video Walls;Interactive Displays;Zoom/Teams Rooms;Wireless Presentation;Crestron Control"
